CAZy_Family	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
GT20	1806.96872	1810.119622	1529.485975	1653.578833	1658.028729	1716.009084	933.2378271	1004.315308	859.4001373	1026.264529	975.8859182	847.9361912	542.005022	573.7871986	310.9516688
GT25	163.214026	152.2603172	108.5332871	100.6420637	74.9564665	132.1420503	120.282523	148.4551349	188.654168	415.1729522	432.5932943	385.9593484	142.1708601	151.9350567	1720.171122
GT26	909.2945969	1033.103617	1006.834362	1278.626797	1201.46769	1076.771427	898.4551208	933.6081269	1015.542889	880.7379325	696.5012942	584.1526894	1117.32456	1045.519658	905.995375
GT27	9.628136037	6.653666027	18.79488637	1.892410231	4.989820068	0	12.65361064	10.22426145	82.61735293	20.67998473	12.31959257	28.72755051	0	4.783240621	8.74239132
GT28	3044.384318	3335.119541	3319.137734	3593.619821	2947.532902	2960.883802	2473.928852	3111.273067	2781.047671	2973.673634	2733.20878	3238.854	2829.397316	2557.460923	2368.476336
GT29	33.62558458	26.60298721	17.20664663	22.12280902	27.17978173	33.90920726	39.48312015	38.73163837	99.39530217	96.78724985	60.61247746	53.46796869	45.59231942	21.03789359	0
GT3	631.7380564	490.0352476	513.6217684	806.174976	881.2694851	721.9959961	270.754501	254.7831398	242.505145	471.8987603	358.945235	166.8710104	26.15026382	63.04467542	19.29852865
GT30	3668.565672	3831.718346	3688.157517	4066.615216	3849.761124	3666.491246	2619.292474	2812.464999	3009.18326	2473.145181	2722.515365	2815.650915	2415.208134	1951.038383	1681.26043
GT32	131.3640823	90.2660469	100.6666183	176.629106	107.9072053	161.6326372	83.57125859	151.6597834	250.7819535	876.9483046	1329.103409	1062.630669	44.90176137	128.9345719	495.9858246
GT34	142.6768851	69.35326093	107.203266	13.85708937	14.54361244	29.99595155	31.45439194	29.66621081	18.54220134	43.55131053	86.17555726	48.43374697	67.42877453	107.0040368	157.8342361
GT35	5205.39249	5645.037518	5276.686341	6078.798483	5423.97526	4808.559366	5057.527595	4996.96579	3904.809664	4069.545704	4263.556565	3726.947455	5284.32696	5159.394151	4130.18603
GT39	0	4.412056617	14.02078422	5.019441041	0	4.657478294	0	0	4.388362398	2.795846481	6.218461012	6.745485441	3.345987503	3.62159647	0
GT4	13536.96697	14352.46112	13581.60013	14590.73809	14422.49568	13847.79712	13235.28195	12582.33553	11563.63567	10165.60244	9922.625935	11054.04402	13883.98857	11477.95315	12013.9887
GT41	520.4741629	564.1367014	478.3764047	567.3162375	603.5990328	689.5898383	1136.622329	1232.07941	1144.236256	806.7293643	748.0137138	843.18859	3410.165808	2989.212134	2453.884232
GT47	1949.480579	1846.619759	2006.605033	2142.086327	1935.825043	1907.170763	1451.584555	1521.889212	1780.510423	1298.563836	1242.101431	1374.510777	1304.61631	1209.722404	1094.095783
GT49	8.072635414	43.86723814	16.85283266	30.12887385	36.26239263	49.66784236	47.35699852	55.06035392	62.18912923	27.73511942	52.69464438	53.0419603	0	3.520996568	0
